DEBUG 2025-05-08 17:06:18,018 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,018 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1744484117.2780218
DEBUG 2025-05-08 17:06:18,018 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1744465212.2445445
DEBUG 2025-05-08 17:06:18,019 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1744465212.2490714
DEBUG 2025-05-08 17:06:18,019 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1744465212.3536386
DEBUG 2025-05-08 17:06:18,019 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\testing.py first seen with mtime 1744484128.106225
DEBUG 2025-05-08 17:06:18,020 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1712656262.0
DEBUG 2025-05-08 17:06:18,020 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\migrations\questioner.py first seen with mtime 1744465212.3141167
DEBUG 2025-05-08 17:06:18,020 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1744465207.8571925
DEBUG 2025-05-08 17:06:18,020 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1744465212.1739743
DEBUG 2025-05-08 17:06:18,021 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1744465212.5163207
DEBUG 2025-05-08 17:06:18,021 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\re\_casefix.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,021 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,022 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\encodings\aliases.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,022 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\socket.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,022 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_config\__init__.py first seen with mtime 1744484130.7313836
DEBUG 2025-05-08 17:06:18,022 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1744465212.1678772
DEBUG 2025-05-08 17:06:18,023 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\core\dtypes\cast.py first seen with mtime 1744484128.357371
DEBUG 2025-05-08 17:06:18,023 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\pprint.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,023 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\io\sas\__init__.py first seen with mtime 1744484128.649657
DEBUG 2025-05-08 17:06:18,023 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1744465212.2461705
DEBUG 2025-05-08 17:06:18,023 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\lib\_npyio_impl.py first seen with mtime 1744484117.2309637
